"id_student_panel","subject","grade","treated","school","cd_etab","chain_id","scale_linked","theta_linked"
"Y3P_5198","Arabic",1,0,"AHMED BOUKMAKH","26501E","arabic_chain1",FALSE,0.0799874833641455
"Y3P_5223","Arabic",1,0,"AHMED BOUKMAKH","26501E","arabic_chain1",FALSE,-3.00395538482896
"Y3P_5233","Arabic",1,1,"ECOLE OMAR BNOU ALKHATTAB","14019M","arabic_chain1",FALSE,0.802966042139278
"Y3P_5292","Arabic",1,1,"IBNOU MISSKAWAIHE","27772L","arabic_chain1",FALSE,0.802966042139279
"Y3P_5294","Arabic",1,1,"ECOLE PRIMAIRE MUSTAPHA EL MAANI","14033C","arabic_chain1",FALSE,-0.350075394209197
"Y3P_5297","Arabic",1,1,"ECOLE PRIMAIRE MOHAMED ZARKTOUNI","24698V","arabic_chain1",FALSE,0.0799874833641457
"Y3P_5299","Arabic",1,0,"ECOLE PRIMAIRE AHL LOUGHLAM CHARKIA","01722W","arabic_chain1",FALSE,1.61758098282458
"Y3P_5312","Arabic",1,1,"ABDERRAHMANE HJIRA","24457H","arabic_chain1",FALSE,0.802966042139279
"Y3P_5313","Arabic",1,1,"ECOLE PRIMAIRE MOHAMED ZARKTOUNI","24698V","arabic_chain1",FALSE,-2.40979163685516
"Y3P_5371","Arabic",1,1,"ECOLE OMAR BNOU ALKHATTAB","14019M","arabic_chain1",FALSE,1.29945859981775
"Y3P_5427","Arabic",1,0,"MOHAMED ZERKTOUNI","18165U","arabic_chain1",FALSE,-0.0706042782363459
"Y3P_5429","Arabic",1,0,"MOHAMED ZERKTOUNI","18165U","arabic_chain1",FALSE,1.29945859981775
"Y3P_5430","Arabic",1,1,"IBNOU MISSKAWAIHE","27772L","arabic_chain1",FALSE,2.56850921204365
"Y3P_5438","Arabic",1,1,"ECOLE PRIMAIRE IBN AL HAYTAM","24791W","arabic_chain1",FALSE,0.802966042139278
"Y3P_5447","Arabic",1,1,"ECOLE PRIMAIRE MOHAMED ZARKTOUNI","24698V","arabic_chain1",FALSE,1.61758098282458
"Y3P_5453","Arabic",1,1,"ECOLE TIKNI","08099C","arabic_chain1",FALSE,-2.07492578490104
"Y3P_5460","Arabic",1,0,"E OUKBA BNOU NAFII","25341U","arabic_chain1",FALSE,-2.75895281272257
"Y3P_5462","Arabic",1,1,"ECOLE PRIMAIRE MED BELHASSAN AL OUAZZANI","01633Z","arabic_chain1",FALSE,1.29945859981775
"Y3P_5467","Arabic",1,1,"ECOLE TIKNI","08099C","arabic_chain1",FALSE,3.38276072628179
"Y3P_5475","Arabic",1,1,"ECOLE IBN TOUFAIL","27147G","arabic_chain1",FALSE,0.802966042139279
"Y3P_5505","Arabic",1,0,"E DRISS BENZAKRI","25969B","arabic_chain1",FALSE,1.03353462329739
"Y3P_5506","Arabic",1,0,"E ERRAHMA","20901T","arabic_chain1",FALSE,0.411522922316526
"Y3P_5518","Arabic",1,1,"ECOLE OMAR BNOU ALKHATTAB","14019M","arabic_chain1",FALSE,1.03353462329739
"Y3P_5520","Arabic",1,1,"ECOLE PRIMAIRE IBN AL HAYTAM","24791W","arabic_chain1",FALSE,1.29945859981775
"Y3P_5537","Arabic",1,0,"ECOLE PRIMAIRE AHL LOUGHLAM CHARKIA","01722W","arabic_chain1",FALSE,0.411522922316527
"Y3P_5554","Arabic",1,1,"ECOLE SIDI ALI","08138V","arabic_chain1",FALSE,0.597756637537236
"Y3P_5567","Arabic",1,1,"IBNOU MISSKAWAIHE","27772L","arabic_chain1",FALSE,1.03353462329739
"Y3P_5569","Arabic",1,1,"ECOLE EL KARIA","08207V","arabic_chain1",FALSE,-0.968229144279239
"Y3P_5572","Arabic",1,0,"ECOLE PRIMAIRE ERHAMNA","01621L","arabic_chain1",FALSE,2.01913528586881
"Y3P_5575","Arabic",1,1,"ECOLE TIKNI","08099C","arabic_chain1",FALSE,-1.41886089969377
"Y3P_5578","Arabic",1,1,"ECOLE PRIMAIRE MUSTAPHA EL MAANI","14033C","arabic_chain1",FALSE,1.29945859981775
"Y3P_5597","Arabic",1,0,"ABI BAKR ESSADDIK","01727B","arabic_chain1",FALSE,-1.41886089969377
"Y3P_5600","Arabic",1,0,"E OUKBA BNOU NAFII","25341U","arabic_chain1",FALSE,2.01913528586882
"Y3P_5604","Arabic",1,0,"ECOLE PRIMAIRE ERHAMNA","01621L","arabic_chain1",FALSE,0.239950257580577
"Y3P_5611","Arabic",1,1,"ABDERRAHMANE HJIRA","24457H","arabic_chain1",FALSE,0.802966042139278
"Y3P_5614","Arabic",1,0,"AHMED BOUKMAKH","26501E","arabic_chain1",FALSE,3.38276072628179
"Y3P_5621","Arabic",1,1,"ECOLE PRIMAIRE MED BELHASSAN AL OUAZZANI","01633Z","arabic_chain1",FALSE,3.38276072628179
"Y3P_5629","Arabic",1,0,"ABI BAKR ESSADDIK","01727B","arabic_chain1",FALSE,0.802966042139278
"Y3P_5717","Arabic",1,1,"ECOLE IBRAHIM ROUDANI","23361S","arabic_chain1",FALSE,2.56850921204365
"Y3P_5793","Arabic",1,1,"ECOLE IBN TOUFAIL","27147G","arabic_chain1",FALSE,2.01913528586881
"Y3P_5832","Arabic",1,0,"CENTRALE EL AOUNATE","08101E","arabic_chain1",FALSE,0.802966042139279
"Y3P_5853","Arabic",1,0,"OULED SIDI ABDENNEBI","01738N","arabic_chain1",FALSE,3.38276072628179
"Y3P_5876","Arabic",1,1,"LISSANE EDDINE IBN ALKHATIB","27199N","arabic_chain1",FALSE,-2.64047363551086
"Y3P_5879","Arabic",1,1,"ECOLE PRIMAIRE MOHAMED ZARKTOUNI","24698V","arabic_chain1",FALSE,2.01913528586881
"Y3P_5890","Arabic",1,0,"ECOLE PRIMAIRE ERHAMNA","01621L","arabic_chain1",FALSE,-0.608104410016011
"Y3P_6028","Arabic",1,0,"ECOLE PRIMAIRE ERHAMNA","01621L","arabic_chain1",FALSE,1.03353462329739
"Y3P_6057","Arabic",1,1,"ECOLE MOUAD BEN JABAL","25822S","arabic_chain1",FALSE,1.61758098282458
"Y3P_6074","Arabic",1,1,"ECOLE PRIMAIRE ENNOUR","26477D","arabic_chain1",FALSE,-0.0706042782363456
"Y3P_6076","Arabic",1,1,"ECOLE PRIMAIRE ENNOUR","26477D","arabic_chain1",FALSE,-3.68588178875132
"Y3P_6079","Arabic",1,1,"ECOLE PRIMAIRE ENNOUR","26477D","arabic_chain1",FALSE,-1.85593642133777
"Y3P_6101","Arabic",1,1,"LISSANE EDDINE IBN ALKHATIB","27199N","arabic_chain1",FALSE,0.597756637537237
"Y3P_6104","Arabic",1,1,"ECOLE PRIMAIRE ENNOUR","26477D","arabic_chain1",FALSE,2.56850921204365
"Y3P_6105","Arabic",1,1,"ECOLE PRIMAIRE ENNOUR","26477D","arabic_chain1",FALSE,-0.070604278236346
"Y3P_6114","Arabic",1,1,"ECOLE MOUAD BEN JABAL","25822S","arabic_chain1",FALSE,1.61758098282458
"Y3P_6151","Arabic",1,0,"E DRISS BENZAKRI","25969B","arabic_chain1",FALSE,-0.213519541192632
"Y3P_6157","Arabic",1,0,"E ERRAHMA","20901T","arabic_chain1",FALSE,1.61758098282458
"Y3P_6195","Arabic",1,0,"ECOLE PRIMAIRE  ALI BNOU ABITALEB","25998H","arabic_chain1",FALSE,-1.19646324063422
"Y3P_6228","Arabic",1,1,"LISSANE EDDINE IBN ALKHATIB","27199N","arabic_chain1",FALSE,1.29945859981775
"Y3P_6234","Arabic",1,0,"E OUKBA BNOU NAFII","25341U","arabic_chain1",FALSE,-2.64047363551085
"Y3P_6248","Arabic",1,1,"AL FARABI","27200P","arabic_chain1",FALSE,-0.60810441001601
"Y3P_6254","Arabic",1,1,"AL FARABI","27200P","arabic_chain1",FALSE,0.239950257580576
"Y3P_6289","Arabic",1,1,"EL MAKKI ENNACIRI","27094Z","arabic_chain1",FALSE,0.411522922316526
"Y3P_6297","Arabic",1,0,"ECOLE PRIMAIRE OUED AL MAKHAZINE","01623N","arabic_chain1",FALSE,-3.26253595171833
"Y3P_6301","Arabic",1,1,"ECOLE ABDELKRIM EL KHATIB","25823T","arabic_chain1",FALSE,0.411522922316527
"Y3P_6309","Arabic",1,1,"EL MAKKI ENNACIRI","27094Z","arabic_chain1",FALSE,1.29945859981775
"Y3P_6325","Arabic",1,0,"ECOLE PRIMAIRE AHL LOUGHLAM CHARKIA","01722W","arabic_chain1",FALSE,-0.968229144279238
"Y3P_6334","Arabic",1,1,"ECOLE ABDELKRIM EL KHATIB","25823T","arabic_chain1",FALSE,0.802966042139279
"Y3P_6348","Arabic",1,1,"ECOLE ABDELKRIM EL KHATIB","25823T","arabic_chain1",FALSE,2.56850921204365
"Y3P_6349","Arabic",1,1,"ECOLE PRIMAIRE MUSTAPHA EL MAANI","14033C","arabic_chain1",FALSE,0.802966042139278
"Y3P_6391","Arabic",1,0,"OULED SIDI ABDENNEBI","01738N","arabic_chain1",FALSE,-3.00395538482895
"Y3P_6406","Arabic",1,0,"ECOLE PRIMAIRE ELMARWA","27527V","arabic_chain1",FALSE,-0.968229144279239
"Y3P_6410","Arabic",1,1,"ECOLE IBRAHIM ROUDANI","23361S","arabic_chain1",FALSE,1.61758098282458
"Y3P_6413","Arabic",1,1,"ECOLE OMAR BNOU ALKHATTAB","14019M","arabic_chain1",FALSE,0.0799874833641457
"Y3P_6414","Arabic",1,0,"ECOLE PRIMAIRE OUED AL MAKHAZINE","01623N","arabic_chain1",FALSE,-3.68588178875132
"Y3P_6419","Arabic",1,1,"EL MAKKI ENNACIRI","27094Z","arabic_chain1",FALSE,-5.20674237924587
"Y3P_6465","Arabic",1,1,"ECOLE EL KARIA","08207V","arabic_chain1",FALSE,-3.83969704447945
"Y3P_6481","Arabic",1,1,"AL FARABI","27200P","arabic_chain1",FALSE,0.597756637537237
"Y3P_6488","Arabic",1,1,"IBNOU MISSKAWAIHE","27772L","arabic_chain1",FALSE,1.03353462329739
"Y3P_6512","Arabic",1,1,"IBN BATTOUTA","08086N","arabic_chain1",FALSE,0.597756637537236
"Y3P_6526","Arabic",1,0,"EL FALAH","18168X","arabic_chain1",FALSE,-0.731134736343816
"Y3P_6529","Arabic",1,0,"E DRISS BENZAKRI","25969B","arabic_chain1",FALSE,0.239950257580577
"Y3P_6546","Arabic",1,1,"ECOLE PRIMAIRE MUSTAPHA EL MAANI","14033C","arabic_chain1",FALSE,1.03353462329739
"Y3P_6573","Arabic",1,0,"E HOMMANE EL FETOUAKI","26461L","arabic_chain1",FALSE,1.29945859981775
"Y3P_6574","Arabic",1,0,"ABI BAKR ESSADDIK","01727B","arabic_chain1",FALSE,-0.968229144279238
"Y3P_6589","Arabic",1,0,"ECOLE PRIMAIRE  EL KODS","01788T","arabic_chain1",FALSE,-1.19646324063422
"Y3P_6597","Arabic",1,1,"ECOLE PRIMAIRE MUSTAPHA EL MAANI","14033C","arabic_chain1",FALSE,-3.5390650520524
"Y3P_6601","Arabic",1,0,"E ERRAHMA","20901T","arabic_chain1",FALSE,3.38276072628179
"Y3P_6617","Arabic",1,1,"ECOLE OMAR BNOU ALKHATTAB","14019M","arabic_chain1",FALSE,1.29945859981775
"Y3P_6642","Arabic",1,1,"IBN BATTOUTA","08086N","arabic_chain1",FALSE,0.597756637537237
"Y3P_6654","Arabic",1,1,"ECOLE TIKNI","08099C","arabic_chain1",FALSE,1.03353462329739
"Y3P_6658","Arabic",1,1,"ECOLE EL KARIA","08207V","arabic_chain1",FALSE,-0.608104410016011
"Y3P_6660","Arabic",1,1,"ECOLE EL KARIA","08207V","arabic_chain1",FALSE,-0.48131981494784
"Y3P_6668","Arabic",1,1,"ECOLE IBRAHIM ROUDANI","23361S","arabic_chain1",FALSE,1.61758098282458
"Y3P_6669","Arabic",1,1,"ECOLE IBRAHIM ROUDANI","23361S","arabic_chain1",FALSE,0.802966042139279
"Y3P_6674","Arabic",1,1,"AL FARABI","27200P","arabic_chain1",FALSE,2.56850921204365
"Y3P_6678","Arabic",1,1,"IBN BATTOUTA","08086N","arabic_chain1",FALSE,0.802966042139279
"Y3P_6686","Arabic",1,0,"OULED SIDI ABDENNEBI","01738N","arabic_chain1",FALSE,0.802966042139278
"Y3P_6687","Arabic",1,1,"ECOLE IBN TOUFAIL","27147G","arabic_chain1",FALSE,1.29945859981775
"Y3P_6696","Arabic",1,0,"MOHAMED ZERKTOUNI","18165U","arabic_chain1",FALSE,-4.35767013796716
"Y3P_6705","Arabic",1,0,"EL FALAH","18168X","arabic_chain1",FALSE,-1.74694332168341
"Y3P_6710","Arabic",1,0,"ECOLE PRIMAIRE  EL KODS","01788T","arabic_chain1",FALSE,-0.0706042782363462
"Y3P_6730","Arabic",1,0,"E DRISS BENZAKRI","25969B","arabic_chain1",FALSE,0.597756637537236
"Y3P_6739","Arabic",1,0,"AHMED BOUKMAKH","26501E","arabic_chain1",FALSE,2.56850921204365
"Y3P_6747","Arabic",1,0,"ECOLE PRIMAIRE ERHAMNA","01621L","arabic_chain1",FALSE,0.411522922316527
"Y3P_6748","Arabic",1,0,"ECOLE PRIMAIRE ELMARWA","27527V","arabic_chain1",FALSE,1.61758098282458
"Y3P_6752","Arabic",1,0,"ECOLE PRIMAIRE  EL KODS","01788T","arabic_chain1",FALSE,0.239950257580577
"Y3P_6770","Arabic",1,0,"OULED SIDI ABDENNEBI","01738N","arabic_chain1",FALSE,-2.52419413701903
"Y3P_6784","Arabic",1,0,"E HOMMANE EL FETOUAKI","26461L","arabic_chain1",FALSE,-0.608104410016011
"Y3P_6786","Arabic",1,1,"ECOLE PRIMAIRE IBN AL HAYTAM","24791W","arabic_chain1",FALSE,0.411522922316527
"Y3P_6787","Arabic",1,1,"ECOLE PRIMAIRE IBN AL HAYTAM","24791W","arabic_chain1",FALSE,-3.68588178875133
"Y3P_6804","Arabic",1,1,"ABDERRAHMANE HJIRA","24457H","arabic_chain1",FALSE,0.802966042139278
"Y3P_6807","Arabic",1,1,"ECOLE PRIMAIRE MED BELHASSAN AL OUAZZANI","01633Z","arabic_chain1",FALSE,1.61758098282458
"Y3P_6808","Arabic",1,1,"ECOLE IBN TOUFAIL","27147G","arabic_chain1",FALSE,-1.63794256287188
"Y3P_6812","Arabic",1,0,"ECOLE PRIMAIRE ELMARWA","27527V","arabic_chain1",FALSE,1.61758098282458
"Y3P_6831","Arabic",1,0,"E 11 JANVIER","26108C","arabic_chain1",FALSE,-0.350075394209197
"Y3P_6837","Arabic",1,0,"E 11 JANVIER","26108C","arabic_chain1",FALSE,-3.39822629847229
"Y3P_6842","Arabic",1,0,"E 11 JANVIER","26108C","arabic_chain1",FALSE,0.0799874833641461
"Y3P_6843","Arabic",1,1,"ECOLE PRIMAIRE MED BELHASSAN AL OUAZZANI","01633Z","arabic_chain1",FALSE,0.411522922316528
"Y3P_6848","Arabic",1,0,"E 11 JANVIER","26108C","arabic_chain1",FALSE,-1.96517882048903
"Y3P_6854","Arabic",1,0,"E 11 JANVIER","26108C","arabic_chain1",FALSE,0.0799874833641463
"Y3P_6866","Arabic",1,1,"ABDERRAHMANE HJIRA","24457H","arabic_chain1",FALSE,2.01913528586881
"Y3P_6871","Arabic",1,0,"ECOLE PRIMAIRE  ALI BNOU ABITALEB","25998H","arabic_chain1",FALSE,-0.350075394209196
"Y3P_6881","Arabic",1,0,"CENTRALE EL AOUNATE","08101E","arabic_chain1",FALSE,1.61758098282458
"Y3P_6898","Arabic",1,0,"ECOLE PRIMAIRE OUED AL MAKHAZINE","01623N","arabic_chain1",FALSE,-1.41886089969377
"Y3P_6904","Arabic",1,1,"ECOLE ABDELKRIM EL KHATIB","25823T","arabic_chain1",FALSE,1.61758098282458
"Y3P_6917","Arabic",1,0,"E DRISS BENZAKRI","25969B","arabic_chain1",FALSE,-1.41886089969377
"Y3P_6920","Arabic",1,0,"ECOLE PRIMAIRE OUED AL MAKHAZINE","01623N","arabic_chain1",FALSE,-2.64047363551085
"Y3P_6928","Arabic",1,0,"MOHAMED ZERKTOUNI","18165U","arabic_chain1",FALSE,-1.74694332168341
"Y3P_6929","Arabic",1,0,"MOHAMED ZERKTOUNI","18165U","arabic_chain1",FALSE,-4.17378536576204
"Y3P_6931","Arabic",1,0,"E HOMMANE EL FETOUAKI","26461L","arabic_chain1",FALSE,1.61758098282458
"Y3P_6932","Arabic",1,1,"LISSANE EDDINE IBN ALKHATIB","27199N","arabic_chain1",FALSE,-0.608104410016011
"Y3P_6935","Arabic",1,1,"LISSANE EDDINE IBN ALKHATIB","27199N","arabic_chain1",FALSE,1.61758098282458
"Y3P_6941","Arabic",1,1,"ECOLE SIDI ALI","08138V","arabic_chain1",FALSE,-1.30822518890879
"Y3P_6942","Arabic",1,1,"ECOLE SIDI ALI","08138V","arabic_chain1",FALSE,2.01913528586882
"Y3P_6946","Arabic",1,1,"ECOLE SIDI ALI","08138V","arabic_chain1",FALSE,2.01913528586881
"Y3P_6965","Arabic",1,1,"ECOLE ABDELKRIM EL KHATIB","25823T","arabic_chain1",FALSE,0.802966042139279
"Y3P_6992","Arabic",1,0,"ABI BAKR ESSADDIK","01727B","arabic_chain1",FALSE,-2.40979163685516
"Y3P_6993","Arabic",1,0,"ECOLE PRIMAIRE  ALI BNOU ABITALEB","25998H","arabic_chain1",FALSE,-4.17378536576203
"Y3P_6998","Arabic",1,1,"IBNOU MISSKAWAIHE","27772L","arabic_chain1",FALSE,1.61758098282458
"Y3P_7003","Arabic",1,1,"ECOLE MOUAD BEN JABAL","25822S","arabic_chain1",FALSE,-0.851006027096574
"Y3P_7005","Arabic",1,0,"ECOLE PRIMAIRE OUED AL MAKHAZINE","01623N","arabic_chain1",FALSE,-3.83969704447945
"Y3P_7011","Arabic",1,0,"ECOLE PRIMAIRE ELMARWA","27527V","arabic_chain1",FALSE,2.56850921204365
"Y3P_7014","Arabic",1,1,"ECOLE MOUAD BEN JABAL","25822S","arabic_chain1",FALSE,-1.30822518890879
"Y3P_7023","Arabic",1,1,"EL MAKKI ENNACIRI","27094Z","arabic_chain1",FALSE,2.01913528586882
"Y3P_7030","Arabic",1,1,"ECOLE SIDI ALI","08138V","arabic_chain1",FALSE,2.01913528586881
"Y3P_7035","Arabic",1,0,"ECOLE PRIMAIRE  ALI BNOU ABITALEB","25998H","arabic_chain1",FALSE,-0.731134736343816
"Y3P_7051","Arabic",1,0,"ECOLE PRIMAIRE  EL KODS","01788T","arabic_chain1",FALSE,-0.0706042782363464
"Y3P_7053","Arabic",1,1,"AL FARABI","27200P","arabic_chain1",FALSE,3.38276072628179
"Y3P_7054","Arabic",1,1,"ECOLE EL KARIA","08207V","arabic_chain1",FALSE,-0.0706042782363463
"Y3P_7058","Arabic",1,0,"ABI BAKR ESSADDIK","01727B","arabic_chain1",FALSE,-0.48131981494784
"Y3P_7066","Arabic",1,1,"ECOLE TIKNI","08099C","arabic_chain1",FALSE,3.38276072628179
"Y3P_7067","Arabic",1,0,"EL FALAH","18168X","arabic_chain1",FALSE,-4.55544200227505
"Y3P_7069","Arabic",1,0,"E ERRAHMA","20901T","arabic_chain1",FALSE,-1.52867206001525
"Y3P_7078","Arabic",1,0,"E HOMMANE EL FETOUAKI","26461L","arabic_chain1",FALSE,-0.0706042782363458
"Y3P_7097","Arabic",1,0,"OULED SIDI ABDENNEBI","01738N","arabic_chain1",FALSE,-1.85593642133777
"Y3P_7099","Arabic",1,1,"ECOLE IBRAHIM ROUDANI","23361S","arabic_chain1",FALSE,1.61758098282458
"Y3P_7102","Arabic",1,1,"EL MAKKI ENNACIRI","27094Z","arabic_chain1",FALSE,0.802966042139278
"Y3P_7103","Arabic",1,0,"ECOLE PRIMAIRE  ALI BNOU ABITALEB","25998H","arabic_chain1",FALSE,-0.48131981494784
"Y3P_7113","Arabic",1,0,"E OUKBA BNOU NAFII","25341U","arabic_chain1",FALSE,-2.64047363551085
"Y3P_7117","Arabic",1,0,"EL FALAH","18168X","arabic_chain1",FALSE,-4.989063658918
"Y3P_7119","Arabic",1,0,"E OUKBA BNOU NAFII","25341U","arabic_chain1",FALSE,-0.481319814947838
"Y3P_7123","Arabic",1,0,"E ERRAHMA","20901T","arabic_chain1",FALSE,0.802966042139278
"Y3P_7125","Arabic",1,1,"ECOLE PRIMAIRE MED BELHASSAN AL OUAZZANI","01633Z","arabic_chain1",FALSE,-0.851006027096575
"Y3P_1466","Arabic",2,1,"ECOLE EL KARIA","08207V","arabic_chain2",TRUE,-0.376249190492714
"Y3P_2876","Arabic",2,1,"AL FARABI","27200P","arabic_chain2",TRUE,-0.455930420804697
"Y3P_2879","Arabic",2,1,"ECOLE IBRAHIM ROUDANI","23361S","arabic_chain2",TRUE,0.800217055806121
"Y3P_3163","Arabic",2,0,"ABI BAKR ESSADDIK","01727B","arabic_chain2",TRUE,0.310548288627659
"Y3P_3252","Arabic",2,1,"ECOLE TIKNI","08099C","arabic_chain2",TRUE,0.54925048329241
"Y3P_3274","Arabic",2,1,"ENNAHDA","18163S","arabic_chain2",TRUE,0.36093857909719
"Y3P_3281","Arabic",2,1,"ENNAHDA","18163S","arabic_chain2",TRUE,0.25863948740097
"Y3P_3332","Arabic",2,0,"ECOLE PRIMAIRE ELMARWA","27527V","arabic_chain2",TRUE,0.549250483292409
"Y3P_3378","Arabic",2,1,"IBN BATTOUTA","08086N","arabic_chain2",TRUE,0.720101737842321
"Y3P_3431","Arabic",2,1,"ENNAHDA","18163S","arabic_chain2",TRUE,0.503987316660173
"Y3P_3432","Arabic",2,1,"IBNOU MISSKAWAIHE","27772L","arabic_chain2",TRUE,0.36093857909719
"Y3P_3617","Arabic",2,1,"LISSANE EDDINE IBN ALKHATIB","27199N","arabic_chain2",TRUE,-0.628161597881282
"Y3P_3632","Arabic",2,0,"ECOLE PRIMAIRE SOUALEM","14375Z","arabic_chain2",TRUE,0.0926046001137208
"Y3P_3635","Arabic",2,0,"ECOLE PRIMAIRE SOUALEM","14375Z","arabic_chain2",TRUE,-0.926013127182204
"Y3P_3712","Arabic",2,1,"ECOLE ABDELKRIM EL KHATIB","25823T","arabic_chain2",TRUE,-0.300333092630768
"Y3P_3834","Arabic",2,1,"AL FARABI","27200P","arabic_chain2",TRUE,0.720101737842322
"Y3P_3987","Arabic",2,1,"ECOLE OMAR BNOU ALKHATTAB","14019M","arabic_chain2",TRUE,-0.227844410941677
"Y3P_4046","Arabic",2,1,"ECOLE MOUAD BEN JABAL","25822S","arabic_chain2",TRUE,-0.227844410941678
"Y3P_4053","Arabic",2,1,"EL MAKKI ENNACIRI","27094Z","arabic_chain2",TRUE,0.503987316660173
"Y3P_4056","Arabic",2,1,"EL MAKKI ENNACIRI","27094Z","arabic_chain2",TRUE,-0.376249190492713
"Y3P_4079","Arabic",2,0,"EL FALAH","18168X","arabic_chain2",TRUE,-0.376249190492714
"Y3P_4131","Arabic",2,0,"E OUKBA BNOU NAFII","25341U","arabic_chain2",TRUE,0.409913745255845
"Y3P_4195","Arabic",2,0,"E OUKBA BNOU NAFII","25341U","arabic_chain2",TRUE,0.800217055806121
"Y3P_4198","Arabic",2,1,"ECOLE PRIMAIRE MED BELHASSAN AL OUAZZANI","01633Z","arabic_chain2",TRUE,0.0926046001137222
"Y3P_4204","Arabic",2,0,"ECOLE PRIMAIRE OUED AL MAKHAZINE","01623N","arabic_chain2",TRUE,-0.0281064084142278
"Y3P_4212","Arabic",2,0,"AHMED BOUKMAKH","26501E","arabic_chain2",TRUE,0.457567983183321
"Y3P_4236","Arabic",2,1,"ECOLE IBN TOUFAIL","27147G","arabic_chain2",TRUE,0.149799693066063
"Y3P_4247","Arabic",2,0,"ECOLE PRIMAIRE ERHAMNA","01621L","arabic_chain2",TRUE,0.36093857909719
"Y3P_4279","Arabic",2,0,"E DRISS BENZAKRI","25969B","arabic_chain2",TRUE,0.457567983183321
"Y3P_4341","Arabic",2,1,"IBN BATTOUTA","08086N","arabic_chain2",TRUE,0.549250483292408
"Y3P_4349","Arabic",2,1,"IBN BATTOUTA","08086N","arabic_chain2",TRUE,0.149799693066063
"Y3P_4352","Arabic",2,0,"E DRISS BENZAKRI","25969B","arabic_chain2",TRUE,-0.158483342202072
"Y3P_4392","Arabic",2,1,"ECOLE PRIMAIRE MOHAMED ZARKTOUNI","24698V","arabic_chain2",TRUE,0.409913745255843
"Y3P_4405","Arabic",2,1,"ECOLE TIKNI","08099C","arabic_chain2",TRUE,0.678796549127852
"Y3P_4407","Arabic",2,1,"IBNOU MISSKAWAIHE","27772L","arabic_chain2",TRUE,0.409913745255844
"Y3P_4417","Arabic",2,1,"ECOLE TIKNI","08099C","arabic_chain2",TRUE,0.457567983183323
"Y3P_4421","Arabic",2,1,"AL FARABI","27200P","arabic_chain2",TRUE,-0.0919832340434852
"Y3P_4424","Arabic",2,0,"ECOLE PRIMAIRE  ALI BNOU ABITALEB","25998H","arabic_chain2",TRUE,0.457567983183321
"Y3P_4440","Arabic",2,0,"E ERRAHMA","20901T","arabic_chain2",TRUE,0.25863948740097
"Y3P_4559","Arabic",2,0,"E HOMMANE EL FETOUAKI","26461L","arabic_chain2",TRUE,0.0926046001137217
"Y3P_4562","Arabic",2,0,"E HOMMANE EL FETOUAKI","26461L","arabic_chain2",TRUE,-0.091983234043485
"Y3P_4582","Arabic",2,0,"ECOLE PRIMAIRE ELMARWA","27527V","arabic_chain2",TRUE,0.0333594790261146
"Y3P_4607","Arabic",2,0,"E HOMMANE EL FETOUAKI","26461L","arabic_chain2",TRUE,-0.158483342202071
"Y3P_4647","Arabic",2,1,"ECOLE MOUAD BEN JABAL","25822S","arabic_chain2",TRUE,-0.455930420804696
"Y3P_4687","Arabic",2,0,"ECOLE PRIMAIRE  EL KODS","01788T","arabic_chain2",TRUE,-0.455930420804697
